specifications;price;address;date;parsing_dt;m2;rooms;floor;from_floors;price_m2;streets
1-к квартира, 49 м², 1/3 эт.;2641000;Рязань, Советский район, район Солотча;4 дня назад;2020-11-30 09:55:34.330510;49.0;1; 1;3 эт.;53897;Поселок Солотча
1-к квартира, 37 м², 8/19 эт.;1800000;Михайловское ш., стр. 1;3 часа назад;2020-11-30 09:55:34.330510;37.0;1; 8;19 эт.;48648;Михайловское шоссе
2-к квартира, 47.8 м², 2/3 эт.;2629000;Рязань, Советский район, район Солотча;5 дней назад;2020-11-30 09:55:34.330510;47.8;2; 2;3 эт.;55000;Поселок Солотча
1-к квартира, 49.6 м², 3/3 эт.;2326000;Россия, Рязань, Советский район, район Солотча;5 дней назад;2020-11-30 09:55:34.330510;49.6;1; 3;3 эт.;46895;Поселок Солотча
2-к квартира, 59.3 м², 22/28 эт.;4150000;Солотчинское ш., стр. 3;3 дня назад;2020-11-30 09:55:34.330510;59.3;2; 22;28 эт.;69983;Солотчинское шоссе
3-к квартира, 87 м², 11/26 эт.;4173000;ул. Быстрецкая, д. 22;21 минуту назад;2020-11-30 09:55:34.330510;87.0;3; 11;26 эт.;47965;Быстрецкая улица
2-к квартира, 57.8 м², 6/20 эт.;3109000;ул. Быстрецкая, стр. 3;1 час назад;2020-11-30 09:55:34.330510;57.8;2; 6;20 эт.;53788;Быстрецкая улица
1-к квартира, 43.6 м², 7/25 эт.;2326000;Россия, Рязань, Советский район, район Солотча;5 дней назад;2020-11-30 09:55:34.330510;43.6;1; 7;25 эт.;53348;Поселок Солотча
2-к квартира, 65 м², 3/16 эт.;2629000;Рязань, Советский район, район Солотча;5 дней назад;2020-11-30 09:55:34.330510;65.0;2; 3;16 эт.;40446;Поселок Солотча
1-к квартира, 37.5 м², 4/19 эт.;2641000;Рязань, Советский район, район Солотча;4 дня назад;2020-11-30 09:55:34.330510;37.5;1; 4;19 эт.;70426;Поселок Солотча
1-к квартира, 40.6 м², 10/18 эт.;2002000;ул. Зубковой, д. 8В, корп. 1;1 час назад;2020-11-30 09:55:34.330510;40.6;1; 10;18 эт.;49310;Улица Зубковой
2-к квартира, 70 м², 11/18 эт.;3384050;ул. Княжье Поле, стр. 8;1 час назад;2020-11-30 09:55:34.330510;70.0;2; 11;18 эт.;48343;Улица Княжье Поле
2-к квартира, 68.5 м², 9/18 эт.;2400000;ул. Бирюзова, д. 7Б;31 минуту назад;2020-11-30 09:55:34.330510;68.5;2; 9;18 эт.;35036;Улица Бирюзова
2-к квартира, 55 м², 12/18 эт.;2626750;с. Дядьково, блок-секция 4А;6 дней назад;2020-11-30 09:55:34.330510;55.0;2; 12;18 эт.;47759;село Дядьково
2-к квартира, 50.6 м², 9/25 эт.;5200000;ул. Чапаева, д. 61;4 дня назад;2020-11-30 09:55:34.330510;50.6;2; 9;25 эт.;102766;Улица Чапаева
3-к квартира, 109.5 м², 8/9 эт.;4150000;Солотчинское ш., стр. 3;3 дня назад;2020-11-30 09:55:34.330510;109.5;3; 8;9 эт.;37899;Солотчинское шоссе
1-к квартира, 49.6 м², 10/25 эт.;1949021;с. Дядьково, квартал Бульвар Оптимистов;41 минуту назад;2020-11-30 09:55:34.330510;49.6;1; 10;25 эт.;39294;село Дядьково
1-к квартира, 34 м², 4/26 эт.;3430000;с. Дядьково, квартал Бульвар Оптимистов;2 часа назад;2020-11-30 09:55:34.330510;34.0;1; 4;26 эт.;100882;село Дядьково
2-к квартира, 49 м², 9/11 эт.;3357870;с. Дядьково, квартал Бульвар Оптимистов;29 минут назад;2020-11-30 09:55:34.330510;49.0;2; 9;11 эт.;68527;село Дядьково
3-к квартира, 78 м², 14/20 эт.;2474000;с. Дядьково, блок-секция 3А;2 часа назад;2020-11-30 09:55:34.330510;78.0;3; 14;20 эт.;31717;село Дядьково
3-к квартира, 85.9 м², 4/10 эт.;2800000;ул. Быстрецкая, стр. 1;5 дней назад;2020-11-30 09:55:34.330510;85.9;3; 4;10 эт.;32596;Быстрецкая улица
2-к квартира, 56.8 м², 6/10 эт.;8975720;ул. Пролетарская/Чапаева/Полевая, жилой дом;3 дня назад;2020-11-30 09:55:34.330510;56.8;2; 6;10 эт.;158023;Улица Чапаева
1-к квартира, 43.3 м², 5/26 эт.;2707500;Касимовское ш., жилой дом;42 минуты назад;2020-11-30 09:55:34.330510;43.3;1; 5;26 эт.;62528;Касимовское шоссе
2-к квартира, 66 м², 14/26 эт.;2040000;ул. Кальная, д. 79;2 часа назад;2020-11-30 09:55:34.330510;66.0;2; 14;26 эт.;30909;Кальная улица
3-к квартира, 112 м², 7/12 эт.;3550000;Московское ш., 1 оч.;3 дня назад;2020-11-30 09:55:34.330510;112.0;3; 7;12 эт.;31696;Московское шоссе
1-к квартира, 42 м², 7/16 эт.;3700000;ул. Олимпийский городок, д. 4;2 часа назад;2020-11-30 09:55:34.330510;42.0;1; 7;16 эт.;88095;микрорайон Олимпийский городок
1-к квартира, 47.6 м², 4/5 эт.;3908450;Михайловское ш., 234к1;3 часа назад;2020-11-30 09:55:34.330510;47.6;1; 4;5 эт.;82110;Михайловское шоссе
1-к квартира, 37.3 м², 5/11 эт.;3050160;Большая ул., 106к1;3 часа назад;2020-11-30 09:55:34.330510;37.3;1; 5;11 эт.;81773;Большая улица
2-к квартира, 61.9 м², 12/12 эт.;2350000;ул. Гоголя, д. 55;3 часа назад;2020-11-30 09:55:34.330510;61.9;2; 12;12 эт.;37964;Улица Гоголя
1-к квартира, 76.3 м², 3/9 эт.;3558242;Касимовское ш., жилой дом;1 час назад;2020-11-30 09:55:34.330510;76.3;1; 3;9 эт.;46634;Касимовское шоссе
2-к квартира, 62.1 м², 2/10 эт.;6349000;ул. Полетаева, д. 25, корп. 2;1 час назад;2020-11-30 09:55:34.330510;62.1;2; 2;10 эт.;102238;Улица Полетаева
2-к квартира, 78.6 м², 19/25 эт.;2050000;ул. Олимпийский городок, д. 4;2 часа назад;2020-11-30 09:55:34.330510;78.6;2; 19;25 эт.;26081;микрорайон Олимпийский городок
2-к квартира, 59 м², 8/20 эт.;1751600;д. Турлатово, Новая ул., 16;1 час назад;2020-11-30 09:55:34.330510;59.0;2; 8;20 эт.;29688;деревня Турлатово
1-к квартира, 47.5 м², 2/25 эт.;2500000;ул. Совхозная, стр. 1;4 дня назад;2020-11-30 09:55:34.330510;47.5;1; 2;25 эт.;52631;Совхозная улица
Квартира-студия, 25 м², 15/25 эт.;5262350;ул. Маяковского, ЖК «Наследие современности»;3 дня назад;2020-11-30 09:55:34.330510;25.0;1; 15;25 эт.;210494;Улица Маяковского
1-к квартира, 38.8 м², 7/11 эт.;5952960;ул. Пролетарская/Чапаева/Полевая, жилой дом;3 дня назад;2020-11-30 09:55:34.330510;38.8;1; 7;11 эт.;153426;Улица Чапаева
2-к квартира, 60.6 м², 16/26 эт.;4344900;ул. Гражданская/Касимовское ш., д. 21, 23, 22/2, б/с 1А, 1Б, 1В;4 дня назад;2020-11-30 09:55:34.330510;60.6;2; 16;26 эт.;71698;Касимовское шоссе
1-к квартира, 38.6 м², 18/24 эт.;4700000;ул. Полевая, д. 73, секц. 2;12 часов назад;2020-11-30 09:55:34.330510;38.6;1; 18;24 эт.;121761;Полевая улица
2-к квартира, 86.2 м², 2/9 эт.;2800000;ул. Олимпийский городок, д. 4;12 часов назад;2020-11-30 09:55:34.330510;86.2;2; 2;9 эт.;32482;микрорайон Олимпийский городок
1-к квартира, 30.7 м², 19/22 эт.;2700000;ул. Полевая, д. 73, секц. 2;13 часов назад;2020-11-30 09:55:34.330510;30.7;1; 19;22 эт.;87947;Полевая улица
2-к квартира, 56 м², 17/30 эт.;1900000;ул. Олимпийский городок, д. 4;13 часов назад;2020-11-30 09:55:34.330510;56.0;2; 17;30 эт.;33928;микрорайон Олимпийский городок
1-к квартира, 46 м², 2/10 эт.;2829480;ул. Гражданская/Касимовское ш., д. 21, 23, 22/2, б/с 2А, 2Б;3 дня назад;2020-11-30 09:55:34.330510;46.0;1; 2;10 эт.;61510;Касимовское шоссе
2-к квартира, 43.3 м², 2/27 эт.;2786000;ул. Бугровка, жилой дом;18 часов назад;2020-11-30 09:55:34.330510;43.3;2; 2;27 эт.;64341;Улица Бугровка
1-к квартира, 43 м², 23/26 эт.;2273000;ул. Чернышевского, д. 3;13 часов назад;2020-11-30 09:55:34.330510;43.0;1; 23;26 эт.;52860;Улица Чернышевского
2-к квартира, 88.7 м², 6/12 эт.;6207120;ул. Пролетарская/Чапаева/Полевая, жилой дом;3 дня назад;2020-11-30 09:55:34.330510;88.7;2; 6;12 эт.;69978;Улица Чапаева
2-к квартира, 58.7 м², 13/25 эт.;1880000;Московское ш., 1 оч.;17 часов назад;2020-11-30 09:55:34.330510;58.7;2; 13;25 эт.;32027;Московское шоссе
1-к квартира, 36 м², 15/28 эт.;3700000;Солотчинское ш., стр. 3;18 часов назад;2020-11-30 09:55:34.330510;36.0;1; 15;28 эт.;102777;Солотчинское шоссе
2-к квартира, 69.3 м², 9/14 эт.;3310560;ул. Гражданская/Касимовское ш., д. 21, 23, 22/2, б/с 1А, 1Б, 1В;4 дня назад;2020-11-30 09:55:34.330510;69.3;2; 9;14 эт.;47771;Касимовское шоссе
2-к квартира, 60.5 м², 13/25 эт.;2341219;ул. Быстрецкая, д. 22;17 часов назад;2020-11-30 09:55:34.330510;60.5;2; 13;25 эт.;38697;Быстрецкая улица
2-к квартира, 66.7 м², 6/19 эт.;2258641;ул. Маяковского, ЖК «Наследие современности»;17 часов назад;2020-11-30 09:55:34.330510;66.7;2; 6;19 эт.;33862;Улица Маяковского
2-к квартира, 61 м², 21/25 эт.;2680000;ул. Зубковой, д. 8В, корп. 1;1 день назад;2020-11-30 09:55:41.143042;61.0;2; 21;25 эт.;43934;Улица Зубковой
1-к квартира, 44 м², 7/27 эт.;1960000;ул. Зубковой, д. 8В, корп. 1;1 день назад;2020-11-30 09:55:41.143042;44.0;1; 7;27 эт.;44545;Улица Зубковой
2-к квартира, 56 м², 17/25 эт.;2470000;ул. Зубковой, д. 27,  корп. 5;1 день назад;2020-11-30 09:55:41.143042;56.0;2; 17;25 эт.;44107;Улица Зубковой
2-к квартира, 65 м², 8/10 эт.;5100000;Быстрецкая ул., 20к2;1 день назад;2020-11-30 09:55:41.143042;65.0;2; 8;10 эт.;78461;Быстрецкая улица
