specifications;price;address;date;parsing_dt
1-к квартира, 49 м², 1/3 эт.;2641000;Рязань, Советский район, район Солотча;4 дня назад;2020-11-30 09:55:34.330510
1-к квартира, 37 м², 8/19 эт.;1800000;Михайловское ш., стр. 1;3 часа назад;2020-11-30 09:55:34.330510
2-к квартира, 47.8 м², 2/3 эт.;2629000;Рязань, Советский район, район Солотча;5 дней назад;2020-11-30 09:55:34.330510
1-к квартира, 49.6 м², 3/3 эт.;2326000;Россия, Рязань, Советский район, район Солотча;5 дней назад;2020-11-30 09:55:34.330510
2-к квартира, 59.3 м², 22/28 эт.;4150000;Солотчинское ш., стр. 3;3 дня назад;2020-11-30 09:55:34.330510
3-к квартира, 87 м², 11/26 эт.;4173000;ул. Быстрецкая, д. 22;21 минуту назад;2020-11-30 09:55:34.330510
2-к квартира, 57.8 м², 6/20 эт.;3109000;ул. Быстрецкая, стр. 3;1 час назад;2020-11-30 09:55:34.330510
1-к квартира, 43.6 м², 7/25 эт.;2326000;Россия, Рязань, Советский район, район Солотча;5 дней назад;2020-11-30 09:55:34.330510
2-к квартира, 65 м², 3/16 эт.;2629000;Рязань, Советский район, район Солотча;5 дней назад;2020-11-30 09:55:34.330510
1-к квартира, 37.5 м², 4/19 эт.;2641000;Рязань, Советский район, район Солотча;4 дня назад;2020-11-30 09:55:34.330510
1-к квартира, 40.6 м², 10/18 эт.;2002000;ул. Зубковой, д. 8В, корп. 1;1 час назад;2020-11-30 09:55:34.330510
2-к квартира, 70 м², 11/18 эт.;3384050;ул. Княжье Поле, стр. 8;1 час назад;2020-11-30 09:55:34.330510
2-к квартира, 68.5 м², 9/18 эт.;2400000;ул. Бирюзова, д. 7Б;31 минуту назад;2020-11-30 09:55:34.330510
2-к квартира, 55 м², 12/18 эт.;2626750;с. Дядьково, блок-секция 4А;6 дней назад;2020-11-30 09:55:34.330510
2-к квартира, 50.6 м², 9/25 эт.;5200000;ул. Чапаева, д. 61;4 дня назад;2020-11-30 09:55:34.330510
3-к квартира, 109.5 м², 8/9 эт.;4150000;Солотчинское ш., стр. 3;3 дня назад;2020-11-30 09:55:34.330510
1-к квартира, 49.6 м², 10/25 эт.;1949021;с. Дядьково, квартал Бульвар Оптимистов;41 минуту назад;2020-11-30 09:55:34.330510
1-к квартира, 34 м², 4/26 эт.;3430000;с. Дядьково, квартал Бульвар Оптимистов;2 часа назад;2020-11-30 09:55:34.330510
2-к квартира, 49 м², 9/11 эт.;3357870;с. Дядьково, квартал Бульвар Оптимистов;29 минут назад;2020-11-30 09:55:34.330510
3-к квартира, 78 м², 14/20 эт.;2474000;с. Дядьково, блок-секция 3А;2 часа назад;2020-11-30 09:55:34.330510
3-к квартира, 85.9 м², 4/10 эт.;2800000;ул. Быстрецкая, стр. 1;5 дней назад;2020-11-30 09:55:34.330510
2-к квартира, 56.8 м², 6/10 эт.;8975720;ул. Пролетарская/Чапаева/Полевая, жилой дом;3 дня назад;2020-11-30 09:55:34.330510
1-к квартира, 43.3 м², 5/26 эт.;2707500;Касимовское ш., жилой дом;42 минуты назад;2020-11-30 09:55:34.330510
2-к квартира, 66 м², 14/26 эт.;2040000;ул. Кальная, д. 79;2 часа назад;2020-11-30 09:55:34.330510
3-к квартира, 112 м², 7/12 эт.;3550000;Московское ш., 1 оч.;3 дня назад;2020-11-30 09:55:34.330510
1-к квартира, 42 м², 7/16 эт.;3700000;ул. Олимпийский городок, д. 4;2 часа назад;2020-11-30 09:55:34.330510
1-к квартира, 47.6 м², 4/5 эт.;3908450;Михайловское ш., 234к1;3 часа назад;2020-11-30 09:55:34.330510
1-к квартира, 37.3 м², 5/11 эт.;3050160;Большая ул., 106к1;3 часа назад;2020-11-30 09:55:34.330510
2-к квартира, 61.9 м², 12/12 эт.;2350000;ул. Гоголя, д. 55;3 часа назад;2020-11-30 09:55:34.330510
1-к квартира, 76.3 м², 3/9 эт.;3558242;Касимовское ш., жилой дом;1 час назад;2020-11-30 09:55:34.330510
2-к квартира, 62.1 м², 2/10 эт.;6349000;ул. Полетаева, д. 25, корп. 2;1 час назад;2020-11-30 09:55:34.330510
2-к квартира, 78.6 м², 19/25 эт.;2050000;ул. Олимпийский городок, д. 4;2 часа назад;2020-11-30 09:55:34.330510
2-к квартира, 59 м², 8/20 эт.;1751600;д. Турлатово, Новая ул., 16;1 час назад;2020-11-30 09:55:34.330510
1-к квартира, 47.5 м², 2/25 эт.;2500000;ул. Совхозная, стр. 1;4 дня назад;2020-11-30 09:55:34.330510
Квартира-студия, 25 м², 15/25 эт.;5262350;ул. Маяковского, ЖК «Наследие современности»;3 дня назад;2020-11-30 09:55:34.330510
1-к квартира, 38.8 м², 7/11 эт.;5952960;ул. Пролетарская/Чапаева/Полевая, жилой дом;3 дня назад;2020-11-30 09:55:34.330510
2-к квартира, 60.6 м², 16/26 эт.;4344900;ул. Гражданская/Касимовское ш., д. 21, 23, 22/2, б/с 1А, 1Б, 1В;4 дня назад;2020-11-30 09:55:34.330510
1-к квартира, 38.6 м², 18/24 эт.;4700000;ул. Полевая, д. 73, секц. 2;12 часов назад;2020-11-30 09:55:34.330510
2-к квартира, 86.2 м², 2/9 эт.;2800000;ул. Олимпийский городок, д. 4;12 часов назад;2020-11-30 09:55:34.330510
1-к квартира, 30.7 м², 19/22 эт.;2700000;ул. Полевая, д. 73, секц. 2;13 часов назад;2020-11-30 09:55:34.330510
2-к квартира, 56 м², 17/30 эт.;1900000;ул. Олимпийский городок, д. 4;13 часов назад;2020-11-30 09:55:34.330510
1-к квартира, 46 м², 2/10 эт.;2829480;ул. Гражданская/Касимовское ш., д. 21, 23, 22/2, б/с 2А, 2Б;3 дня назад;2020-11-30 09:55:34.330510
2-к квартира, 43.3 м², 2/27 эт.;2786000;ул. Бугровка, жилой дом;18 часов назад;2020-11-30 09:55:34.330510
1-к квартира, 43 м², 23/26 эт.;2273000;ул. Чернышевского, д. 3;13 часов назад;2020-11-30 09:55:34.330510
2-к квартира, 88.7 м², 6/12 эт.;6207120;ул. Пролетарская/Чапаева/Полевая, жилой дом;3 дня назад;2020-11-30 09:55:34.330510
2-к квартира, 58.7 м², 13/25 эт.;1880000;Московское ш., 1 оч.;17 часов назад;2020-11-30 09:55:34.330510
1-к квартира, 36 м², 15/28 эт.;3700000;Солотчинское ш., стр. 3;18 часов назад;2020-11-30 09:55:34.330510
2-к квартира, 69.3 м², 9/14 эт.;3310560;ул. Гражданская/Касимовское ш., д. 21, 23, 22/2, б/с 1А, 1Б, 1В;4 дня назад;2020-11-30 09:55:34.330510
2-к квартира, 60.5 м², 13/25 эт.;2341219;ул. Быстрецкая, д. 22;17 часов назад;2020-11-30 09:55:34.330510
2-к квартира, 66.7 м², 6/19 эт.;2258641;ул. Маяковского, ЖК «Наследие современности»;17 часов назад;2020-11-30 09:55:34.330510
2-к квартира, 61 м², 21/25 эт.;2680000;ул. Зубковой, д. 8В, корп. 1;1 день назад;2020-11-30 09:55:41.143042
1-к квартира, 44 м², 7/27 эт.;1960000;ул. Зубковой, д. 8В, корп. 1;1 день назад;2020-11-30 09:55:41.143042
2-к квартира, 56 м², 17/25 эт.;2470000;ул. Зубковой, д. 27,  корп. 5;1 день назад;2020-11-30 09:55:41.143042
2-к квартира, 65 м², 8/10 эт.;5100000;Быстрецкая ул., 20к2;1 день назад;2020-11-30 09:55:41.143042
1-к квартира, 34.4 м², 17/27 эт.;2700000;Солотчинское ш., д. 4;1 день назад;2020-11-30 09:55:41.143042
1-к квартира, 41.3 м², 24/24 эт.;2492400;ул. Гоголя, д. 55;21 час назад;2020-11-30 09:55:41.143042
3-к квартира, 88 м², 17/26 эт.;3999000;Московское ш., 1 оч.;1 день назад;2020-11-30 09:55:41.143042
3-к квартира, 97.4 м², 10/22 эт.;3550000;ул. Шереметьевская, д. 13;3 дня назад;2020-11-30 09:55:41.143042
1-к квартира, 41 м², 12/20 эт.;4034700;с. Дядьково, 2-й Бульварный пр-д, д. 3;3 дня назад;2020-11-30 09:55:41.143042
1-к квартира, 36 м², 17/25 эт.;2190200;ул. Чапаева, д. 61;6 дней назад;2020-11-30 09:55:41.143042
2-к квартира, 61.8 м², 17/19 эт.;5200000;ул. Быстрецкая, стр. 3;4 дня назад;2020-11-30 09:55:41.143042
1-к квартира, 46.2 м², 1/18 эт.;2231232;ул. Зубковой, д. 27,  корп. 5;1 день назад;2020-11-30 09:55:41.143042
1-к квартира, 35 м², 9/18 эт.;1577000;Россия, Рязань, Советский район, район Солотча;1 день назад;2020-11-30 09:55:41.143042
2-к квартира, 60 м², 6/25 эт.;2326000;Рязань, Советский район, район Солотча;5 дней назад;2020-11-30 09:55:41.143042
2-к квартира, 53.6 м², 5/5 эт.;2629000;Рязань, Советский район, район Солотча;5 дней назад;2020-11-30 09:55:41.143042
1-к квартира, 51 м², 8/10 эт.;2641000;Михайловское ш., стр. 1;4 дня назад;2020-11-30 09:55:41.143042
