street_names;short_names
1-го Мая улица;1-го Мая
Улица 1-е Бутырки;1-е Бутырки
1-й Авиационный проезд;1-й Авиационный
1-й Аллейный проезд;1-й Аллейный
1-й Базарный проезд;1-й Базарный
1-й Бахмачеевский проезд;1-й Бахмачеевский
1-й Гражданский проезд;1-й Гражданский
1-й Дачный переулок;1-й Дачный
1-й Дягилевский проезд;1-й Дягилевский
1-й Земляничный проезд;1-й Земляничный
1-й Индустриальный переулок;1-й Индустриальный
1-й Коломенский проезд;1-й Коломенский
1-й Крайний проезд;1-й Крайний
1-й Лесной проезд;1-й Лесной пр-д
1-й Лесной тупик;1-й Лесной 
1-й Малиновый проезд;1-й Малиновый
1-й Мервинский проезд;1-й Мервинский
1-й Михайловский проезд;1-й Михайловский
1-й Мопровский тупик;1-й Мопровский 
1-й Мушковатовский проезд;1-й Мушковатовский
1-й Нефтезаводской проезд;1-й Нефтезаводской
1-й Новопавловский проезд;1-й Новопавловский
1-й Новый проезд;1-й Новый
1-й Озерный переулок;1-й Озерный
1-й Осенний переулок;1-й Осенний
1-й Песоченский проезд;1-й Песоченский
1-й Пионерский переулок;1-й Пионерский
1-й Полевой переулок;1-й Полевой
1-й Почтовый проезд;1-й Почтовый
1-й проезд Бабушкина;1-й пр-д Бабушкина
1-й проезд Гагарина;1-й пр-д Гагарина
1-й проезд Добролюбова;1-й пр-д Добролюбова
1-й проезд Коняева;1-й пр-д Коняева
1-й проезд Космодемьянской;1-й пр-д Космодемьянской
1-й проезд Ломоносова;1-й пр-д Ломоносова
1-й проезд Осипенко;1-й пр-д Осипенко
1-й проезд Шевцовой;1-й пр-д Шевцовой
1-й Рязанский проезд;1-й Рязанский
1-й Сиреневый проезд;1-й Сиреневый
1-й Совхозный проезд;1-й Совхозный
1-й Старосадский проезд;1-й Старосадский
1-й Сысоевский проезд;1-й Сысоевский
1-й Тракторный проезд;1-й Тракторный
1-й Усадебный проезд;1-й Усадебный
1-й Центральный проезд;1-й Центральный
1-й Школьный проезд;1-й Школьный
1-й Яблоневый проезд;1-й Яблоневый
1-я Безбожная улица;1-я Безбожная
1-я Железнодорожная улица;1-я Железнодорожная
1-я Красная улица;1-я Красная
Улица 1-я Линия;1-я Линия
1-я Нагорная улица;1-я Нагорная
1-я Прудная улица;1-я Прудная
1-я улица Механизаторов;1-я Механизаторов
Улица 10-я Линия;10-я Линия
Улица 11-я Линия;11-я Линия
Улица 12-я Линия;12-я Линия
Улица 14-я Линия;14-я Линия
184 километр (Окружная дорога);184 километр (Окружная дорога)
185 километр (Окружная дорога);185 километр (Окружная дорога)
186 километр (Окружная дорога);186 километр (Окружная дорога)
187 километр (ж/д Москва - Рязань);187 километр (ж/д Москва - Рязань)
187 километр (Окружная дорога);187 километр (Окружная дорога)
Платформа 187 км;Платформа 187 км
188 километр (ж/д Москва - Рязань);188 километр (ж/д Москва - Рязань)
188 километр (Окружная дорога);188 километр (Окружная дорога)
189 километр (железная дорога Москва - Рязань);189 километр (железная дорога Москва - Рязань)
189 километр (Окружная дорога);189 километр (Окружная дорога)
Платформа 189 км;Платформа 189 км
190 километр (ж/д Москва - Рязань);190 километр (ж/д Москва - Рязань)
190 километр (Окружная дорога);190 километр (Окружная дорога)
Переулок 1905 года;1905 года
191 километр (ж/д Москва - Рязань);191 километр (ж/д Москва - Рязань)
191 километр (Окружная дорога);191 километр (Окружная дорога)
Платформа 191 км;Платформа 191 км
192 километр (Окружная дорога);192 километр (Окружная дорога)
193 километр (ж/д Москва - Рязань);193 километр (ж/д Москва - Рязань)
193 километр (Окружная дорога);193 километр (Окружная дорога)
194 километр (ж/д Москва - Рязань);194 километр (ж/д Москва - Рязань)
194 километр (Окружная дорога);194 километр (Окружная дорога)
195 километр (ж/д Москва - Рязань);195 километр (ж/д Москва - Рязань)
195 километр (Окружная дорога);195 километр (Окружная дорога)
196 километр (ж/д Москва - Рязань);196 километр (ж/д Москва - Рязань)
196 километр (Окружная дорога);196 километр (Окружная дорога)
197 километр (ж/д Москва - Рязань);197 километр (ж/д Москва - Рязань)
197 километр (Окружная дорога);197 километр (Окружная дорога)
198 километр (ж/д Москва - Рязань);198 километр (ж/д Москва - Рязань)
198 километр (Окружная дорога);198 километр (Окружная дорога)
Улица 2-е Бутырки;2-е Бутырки
2-й Авиационный проезд;2-й Авиационный
2-й Аллейный проезд;2-й Аллейный
2-й Базарный проезд;2-й Базарный
2-й Дачный переулок;2-й Дачный
2-й Дягилевский проезд;2-й Дягилевский
2-й Земляничный проезд;2-й Земляничный
2-й Коломенский проезд;2-й Коломенский
2-й Крайний проезд;2-й Крайний
2-й Лесной проезд;2-й Лесной пр-д 
2-й Лесной тупик;2-й Лесной 
2-й Малиновый проезд;2-й Малиновый
2-й Мервинский проезд;2-й Мервинский
2-й Михайловский проезд;2-й Михайловский
2-й Мопровский переулок;2-й Мопровский
2-й Мушковатовский проезд;2-й Мушковатовский
2-й Новопавловский проезд;2-й Новопавловский
2-й Новый проезд;2-й Новый
2-й Озерный переулок;2-й Озерный
2-й Осенний переулок;2-й Осенний
2-й Песоченский проезд;2-й Песоченский
2-й Полевой переулок;2-й Полевой
2-й Почтовый проезд;2-й Почтовый
2-й проезд Гагарина;2-й пр-д Гагарина
2-й проезд Добролюбова;2-й пр-д Добролюбова
2-й проезд Коняева;2-й пр-д Коняева
2-й проезд Ломоносова;2-й пр-д Ломоносова
